release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
2021-02-12,2021,2,545807,195803,192772,194519,192764
2021-02-13,2021,2,545807,195506,192538,194371,192528
2021-02-14,2021,2,545807,195497,192605,194359,192604
2021-02-15,2021,2,545807,194901,191874,193634,191872
2021-02-16,2021,2,545807,194015,191057,192895,191057
2021-02-17,2021,2,545807,193614,190826,192595,190826
2021-02-18,2021,2,545807,193205,190410,192180,190410
2021-02-19,2021,2,545807,192689,189910,191659,189910
2021-02-20,2021,2,545807,192109,189414,191102,189414
2021-02-21,2021,2,545807,191850,189143,190937,189143
2021-02-22,2021,2,545807,191427,188729,190541,188729
2021-02-23,2021,2,545807,191070,188379,190237,188379
2021-02-24,2021,2,545807,190930,188435,190107,188435
2021-02-25,2021,2,545807,190390,188039,189606,188039
2021-02-26,2021,2,545807,190409,188050,189736,188050
2021-02-27,2021,2,545807,190317,187946,189636,187946
2021-02-28,2021,2,545807,190084,187722,189382,187722
2021-03-01,2021,3,545807,189803,187355,189093,187355
2021-03-02,2021,3,545807,189493,187158,188762,187158
2021-03-03,2021,3,545807,189138,186821,188407,186821
2021-03-04,2021,3,545807,188837,186548,188118,186548
2021-03-05,2021,3,545807,188868,186553,188085,186553
2021-03-06,2021,3,545807,188624,186275,187794,186275
2021-03-07,2021,3,545807,188343,185965,187480,185965
2021-03-08,2021,3,545807,188014,185582,187107,185582
2021-03-09,2021,3,545807,187265,184843,186309,184842
2021-03-10,2021,3,545807,186877,184337,185813,184337
2021-03-11,2021,3,545807,186456,183816,185383,183816
2021-03-12,2021,3,545807,186013,183337,184897,183337
2021-03-13,2021,3,545807,185960,183166,184762,183166
2021-03-14,2021,3,545807,185257,182479,184027,182479
2021-11-15,2022,11,545807,308572,195343,206473,195205
2021-11-16,2022,11,545807,308049,195368,206734,195221
2021-11-17,2022,11,545807,308504,195654,206952,195502
2021-11-18,2022,11,545807,309032,195755,206913,195619
2021-11-19,2022,11,545807,308093,195829,207061,195709
2021-11-20,2022,11,545807,307711,195707,206942,195598
2021-11-21,2022,11,545807,308578,195620,206712,195501
2021-11-22,2022,11,545807,309349,195959,206808,195815
2021-11-23,2022,11,545807,310800,195818,206691,195669
2021-11-24,2022,11,545807,310749,196020,206669,195874
2021-11-25,2022,11,545807,310028,196030,206710,195904
2021-11-26,2022,11,545807,309329,196409,207071,196283
2021-11-27,2022,11,545807,309129,196163,206846,196013
2021-11-28,2022,11,545807,309926,196585,207000,196435
2021-11-29,2022,11,545807,309544,196076,206682,195961
2021-11-30,2022,11,545807,309493,196047,206806,195867
2021-12-01,2022,12,545807,310166,196732,207493,196551
2021-12-02,2022,12,545807,309214,196458,207618,196308
2021-12-03,2022,12,545807,308717,197119,208018,196944
2021-12-04,2022,12,545807,308713,197213,208251,197026
2021-12-05,2022,12,545807,307076,197415,208053,197263
2021-12-06,2022,12,545807,304365,197092,207509,196938
2021-12-07,2022,12,545807,301969,197422,207256,197280
2021-12-08,2022,12,545807,298678,197544,207351,197406
2021-12-09,2022,12,545807,290964,197515,207078,197369
2021-12-10,2022,12,545807,287952,197475,206860,197324
2021-12-11,2022,12,545807,286576,197689,206968,197517
2021-12-12,2022,12,545807,285693,197465,206652,197333
2021-12-13,2022,12,545807,284804,196895,206007,196749
2021-12-14,2022,12,545807,284293,196828,205734,196665
2021-12-15,2022,12,545807,284229,196611,205668,196449
2021-12-16,2022,12,545807,284235,197252,205968,197089
2021-12-17,2022,12,545807,284107,197261,206035,197123
2021-12-18,2022,12,545807,283433,197343,205949,197162
2021-12-19,2022,12,545807,282988,197744,206396,197620
2021-12-20,2022,12,545807,281726,197935,206552,197777
2021-12-21,2022,12,545807,279622,198040,206626,197875
2021-12-22,2022,12,545807,275347,197955,206622,197814
2021-12-23,2022,12,545807,271717,197688,206403,197552
2021-12-24,2022,12,545807,272009,198065,206830,197903
2021-12-25,2022,12,545807,271880,198001,206876,197856
2021-12-26,2022,12,545807,271655,197796,206632,197638
2021-12-27,2022,12,545807,271261,198072,207036,197939
2021-12-28,2022,12,545807,267551,197753,206718,197625
2021-12-29,2022,12,545807,256463,197469,206397,197353
2021-12-30,2022,12,545807,253950,197299,206204,197151
2021-12-31,2022,12,545807,252247,197549,206295,197423
2022-01-01,2022,1,545807,251748,197223,206084,197075
2022-01-02,2022,1,545807,251363,197112,206046,196964
2022-01-03,2022,1,545807,250592,196879,205803,196727
2022-01-04,2022,1,545807,250012,196430,205065,196256
2022-01-05,2022,1,545807,249767,196326,204997,196162
2022-01-06,2022,1,545807,250069,195937,204657,195746
2022-01-07,2022,1,545807,250202,196297,204896,196089
2022-01-08,2022,1,545807,250076,196261,204995,196038
2022-01-09,2022,1,545807,249688,196261,204695,196051
2022-01-10,2022,1,545807,249622,196017,204552,195820
2022-01-11,2022,1,545807,249300,196232,204563,196050
2022-01-12,2022,1,545807,248826,196661,204791,196479
2022-01-13,2022,1,545807,248440,196339,204631,196204
2022-01-14,2022,1,545807,248088,196018,204278,195885
2022-01-15,2022,1,545807,248076,196328,204395,196210
2022-01-16,2022,1,545807,247722,196000,203938,195891
2022-01-17,2022,1,545807,247148,196365,203994,196266
2022-01-18,2022,1,545807,246903,196139,203868,196015
2022-01-19,2022,1,545807,246113,196353,203909,196236
